,0
132,"[522.25 498.5  497.25 509.   539.   557.75 529.75 553.   564.75 575.25
 597.75]"
133,"[586.5  580.25 575.25 577.5  570.   568.25 553.   546.5  549.25 531.5
 533.   529.5  522.5  522.25]"
134,"[547.5  562.   532.25 554.   527.25 542.25 558.5  560.25 563.   558.25
 543.   513.   487.5  484.   454.   454.   424.   417.  ]"
135,"[427.5  438.25 408.25 411.5  411.25 388.   384.5  403.   418.5  411.
 385.   390.25]"
136,"[372.75 385.25 390.75 420.75 409.5  401.5  403.   413.   390.25 378.
 375.5  383.5  374.25 369.5  377.   380.25 385.75 380.   378.75 363.75]"
137,"[338.5  354.5  353.5  354.   349.5  332.75 332.5  332.   318.25 293.5
 314.25 312.25 326.75 338.   359.5  375.25 394.  ]"
138,"[389.5  389.5  380.75 381.75 394.75 398.   412.25 393.5  396.25 407.
 412.25 411.25 427.5 ]"
139,"[416.5  406.75 410.75 380.75 362.5  366.5  365.25 391.   383.5  390.25
 387.5  390.5  393.75 377.5  384.5  381.75 379.   370.5  361.75]"
140,"[358.25 371.25 377.25 377.5  376.75 368.5  366.25 363.25 349.25 349.25
 353.25 350.25 351.75 354.25 363.75 362.   350.75 343.5 ]"
141,"[343.5  355.25 349.25 352.75 357.25 366.75 356.   376.75 375.   391.5
 390.5  388.25 396.5  396.5  395.5  393.75]"
142,"[385.75 390.75 387.   386.25 404.75 396.   402.5  404.5  405.5  396.25
 397.   390.25 387.5  394.25 384.5  385.75 376.25]"
143,"[369.5  374.   373.5  381.   377.   372.25 375.   393.   396.25 406.25
 398.   398.5  400.75 404.75 414.   413.5  419.5  419.5  421.5  417.25
 421.5 ]"
144,[425.75 426.   424.   430.25 427.5  426.   428.75 436.25 445.75 449.5 ]
145,"[432.5  448.5  444.   435.   444.   435.75 441.   425.5  406.   404.
 407.75 403.25 399.25 385.25 389.   386.5  382.5  384.25 377.   347.75]"
146,"[351.75 345.75 343.25 335.5  339.25 343.5  345.5  359.   350.   329.5
 316.75 322.25 323.25 311.5  308.  ]"
147,[327.   316.25 322.25 320.5  320.75 332.25 339.5  358.   354.5  347.  ]
148,[332.5  322.   324.25 326.5  330.75 324.5  319.25 314.25 314.5  320.  ]
