stage,seed,protocol,synthetic_proportion_pct,train_windows,mape,fit_seconds,baseline_mape,pct_change_vs_baseline
tmtr_continuous_offsets,46,tmtr_continuous_offset50,100,1197,0.5937798619270325,8.655,0.0985948368906974,502.2423492472522
tmtr_reference,47,tmtr_reference,0,1197,0.1081854552030563,8.558,0.1081854552030563,0.0
tmtr_reference,47,tmtr_reference,10,1134,0.1141991764307022,8.219,0.1081854552030563,5.558715093779086
tmtr_reference,47,tmtr_reference,20,1134,0.0801896080374717,8.246,0.1081854552030563,-25.877644192593547
tmtr_reference,47,tmtr_reference,30,1134,0.1287191808223724,8.35,0.1081854552030563,18.980116671668842
tmtr_reference,47,tmtr_reference,40,1134,0.2088015079498291,8.21,0.1081854552030563,93.00330858517324
tmtr_reference,47,tmtr_reference,50,1134,0.1772928982973098,8.236,0.1081854552030563,63.878682180098814
tmtr_reference,47,tmtr_reference,60,1134,0.4412837624549866,8.334,0.1081854552030563,307.89564699499465
tmtr_reference,47,tmtr_reference,70,1134,0.2956528961658478,8.26,0.1081854552030563,173.28340543645967
tmtr_reference,47,tmtr_reference,80,1134,0.4805527627468109,8.212,0.1081854552030563,344.1935025783716
tmtr_reference,47,tmtr_reference,90,1134,0.4937175512313843,8.21,0.1081854552030563,356.36222568432333
tmtr_reference,47,tmtr_reference,100,1197,0.4976821839809418,8.569,0.1081854552030563,360.02688905530624
tmtr_continuous_offsets,47,tmtr_continuous_offset30,0,1197,0.0844844579696655,8.461,0.0844844579696655,0.0
tmtr_continuous_offsets,47,tmtr_continuous_offset30,10,1134,0.1405967622995376,8.23,0.0844844579696655,66.41730997436174
tmtr_continuous_offsets,47,tmtr_continuous_offset30,20,1134,0.062656432390213,8.319,0.0844844579696655,-25.83673506822988
tmtr_continuous_offsets,47,tmtr_continuous_offset30,30,1134,0.1026295721530914,8.22,0.0844844579696655,21.477458244380266
tmtr_continuous_offsets,47,tmtr_continuous_offset30,40,1134,0.116951547563076,8.218,0.0844844579696655,38.42965957723011
tmtr_continuous_offsets,47,tmtr_continuous_offset30,50,1134,0.2735295295715332,8.345,0.0844844579696655,223.76313483569385
tmtr_continuous_offsets,47,tmtr_continuous_offset30,60,1134,0.1777152866125106,8.277,0.0844844579696655,110.35263867860763
tmtr_continuous_offsets,47,tmtr_continuous_offset30,70,1134,0.1106406897306442,8.243,0.0844844579696655,30.959814845909534
tmtr_continuous_offsets,47,tmtr_continuous_offset30,80,1134,0.1431985199451446,8.252,0.0844844579696655,69.49687952849342
tmtr_continuous_offsets,47,tmtr_continuous_offset30,90,1134,0.0393772535026073,8.222,0.0844844579696655,-53.39112725710348
tmtr_continuous_offsets,47,tmtr_continuous_offset30,100,1197,0.0699240639805793,8.525,0.0844844579696655,-17.234405403079183
tmtr_continuous_offsets,47,tmtr_continuous_offset50,0,1197,0.109288603067398,8.495,0.109288603067398,0.0
tmtr_continuous_offsets,47,tmtr_continuous_offset50,10,1134,0.1643657237291336,8.212,0.109288603067398,50.39603317810703
tmtr_continuous_offsets,47,tmtr_continuous_offset50,20,1134,0.3935126662254333,8.287,0.109288603067398,260.0674317181591
tmtr_continuous_offsets,47,tmtr_continuous_offset50,30,1134,0.3748356699943542,8.281,0.109288603067398,242.97782154209986
tmtr_continuous_offsets,47,tmtr_continuous_offset50,40,1134,0.3593309223651886,8.269,0.109288603067398,228.79084577885044
tmtr_continuous_offsets,47,tmtr_continuous_offset50,50,1134,0.2753313779830932,8.206,0.109288603067398,151.9305492570868
tmtr_continuous_offsets,47,tmtr_continuous_offset50,60,1134,0.2176336944103241,8.323,0.109288603067398,99.13667875881802
tmtr_continuous_offsets,47,tmtr_continuous_offset50,70,1134,0.351025253534317,8.234,0.109288603067398,221.19108825816048
tmtr_continuous_offsets,47,tmtr_continuous_offset50,80,1134,0.4832801520824432,8.258,0.109288603067398,342.2054436768723
tmtr_continuous_offsets,47,tmtr_continuous_offset50,90,1134,0.3766846656799316,8.247,0.109288603067398,244.66966829801194
tmtr_continuous_offsets,47,tmtr_continuous_offset50,100,1197,0.5908096432685852,8.547,0.109288603067398,440.5958413653018
