,0
145,"[252.02999878 245.57000732 244.58999634 247.86000061 247.08000183
 255.94000244 258.63000488 258.89001465 261.07000732 243.3999939 ]"
146,"[247.49000549 245.41999817 245.80999756 245.88000488 252.05000305
 251.88000488 249.32000732 242.63000488 243.13999939 246.5
 252.16999817 249.57000732 249.38000488 253.28999329 257.07000732]"
147,"[255.03999329 255.57000732 252.21000671 252.21000671 250.96000671
 249.1000061  251.72000122 256.66000366 255.94999695 257.63000488
 259.82998657]"
148,"[259.20999146 257.91000366 261.60998535 265.64001465 265.01998901
 264.42999268 261.57998657 262.45999146 267.82000732 267.22000122
 267.98001099 267.88000488 267.29998779 267.38000488 269.42999268
 269.05999756]"
149,"[263.83999634 264.94000244 266.36999512 266.13000488 268.6499939
 271.22000122 271.11999512 268.73999023 268.83999634 268.91000366
 263.3500061 ]"
150,"[258.51000977 258.05999756 260.07000732 258.07000732 258.89001465
 256.08999634 258.51000977 265.48999023 266.16000366 269.42999268
 270.16000366 271.36999512 271.57998657]"
151,"[259.75       259.76998901 259.20999146 257.92001343 256.13000488
 256.42001343 260.14001465 262.51000977 263.92999268 263.79998779]"
152,"[262.60998535 261.32998657 261.55999756 263.         260.32000732
 258.79000854 257.48001099 256.54000854 257.61999512 253.30999756
 253.8500061 ]"
153,"[256.77999878 258.70999146 255.38999939 251.3500061  252.57000732
 253.02000427 250.83000183 253.50999451 253.75999451 254.63000488
 253.41999817 262.16000366 266.69000244 265.32998657 266.45001221
 267.04998779 265.17001343 271.51998901]"
154,"[270.20001221 271.26000977 271.42999268 274.29998779 274.45001221
 269.76998901 270.67999268 268.94000244 271.67001343 275.66000366]"
