,0
69,"[8.00300312 8.17062378 8.32031345 8.02018833 8.09939098 7.84733582
 7.7880578  7.8286562  7.49615288 7.44683695 7.4637742 ]"
70,"[7.04235411 7.54870605 7.63388586 8.08718681 8.06651497 8.25605392
 8.68419933 8.5509491  8.43164635 8.48245621 8.47946739 8.54297924
 8.80997753 9.24733925 9.43388939]"
71,"[8.92928123 8.91757488 9.04235744 8.90860844 8.53451061 8.79478455
 8.53401184 8.6289072  8.22068691 8.60400009 8.50910568 8.3980217
 8.41819668 8.14845753 8.10661411 7.94322681 7.61246681 7.68544292
 7.24509382]"
72,"[7.67547989 7.91807079 8.05804634 8.08021259 7.9624052  8.35219383
 8.29640293 8.2176981  8.22317791 8.68245602 8.6468401  8.56962872
 8.79926777 8.6600399  8.53525829 8.66900635 8.81919289 9.02865791
 9.20997906]"
73,"[ 9.17162323  8.93276787  9.01620483  9.27772522  9.4174509   9.18830967
  9.45207119  9.68220901  9.76938248  9.44709015  9.50113678  9.56066418
  9.58133698  9.70088863  9.61271858  9.55692768  9.75020409  9.86228371
  9.80549717 10.01197338 10.03712845]"
74,"[10.04908371  9.87822437 10.14522266 10.16141319  9.93799973  9.70213413
  9.65132427  9.71359062  9.88395309  9.934762    9.89242077  9.87548447
  9.80076408 10.07124996 10.10113811 10.22168732 10.39179897 10.62417793
 10.6700058  10.75095272 10.96589661]"
75,"[11.06651974 10.92828846 10.84983158 10.77461433 10.68494987 10.58133888
 10.38034153 10.36116409 10.34024239 10.31284523 10.46303177 10.14572144]"
76,"[10.10412693 10.1940403  10.35543537 10.59329414 10.56390381 10.50039196
 10.43563461 10.17411518 10.20201015  9.87872219]"
77,"[10.02467537 10.22143841 10.3213129  10.56788921 10.57760334 10.91334438
 11.02368069 10.71608257 10.7140913  10.65755272 10.65232182 10.89267159
 11.12629604]"
78,"[11.078475   10.95518684 10.86527443 11.09939671 11.03488922 11.26303291
 11.30089092 11.23638344 11.21695614 11.38482666 11.37262344 11.30612183
 11.42168903 11.51384258]"
79,"[11.45705605 11.08071709 11.09043026 11.05780315 11.46726799 11.58756733
 11.67449093 11.74024487 11.65630913 11.60799026]"
80,"[11.57536316 11.4986496  11.35145187 11.28295898 11.39528847 11.4894352
 11.42268467 11.55593586 11.7295351  11.75942326 11.83364487 11.89391899
 12.16166496]"
81,"[12.24709511 12.24061871 12.37860203 12.42990971 12.41496563 12.37287331
 12.26602364 12.41670895 12.41670895 12.34995937 12.13451672 12.0692606
 12.16739368 12.42193985 12.8901844  12.80649757 12.85805511 13.05207825
 13.10363388 13.33302498]"
82,"[13.19828033 13.69491768 13.75070858 13.74149418 13.72605133 13.80052185
 13.79055977 13.80351067 13.65606403 13.45705986 13.72480583 13.3529501
 13.2998991  13.38209057 13.45780659 13.66502953 13.72605133 14.01023579
 14.11608887 14.21073532]"
83,"[14.14323807 14.24784565 14.35320091 14.38333797 14.36241627 14.27125835
 14.19579124 14.50438404 14.52281475 14.5888176  14.4398756  14.52057266
 14.69168186 14.63290215 14.5888176  14.5706358  14.60151958 14.6214447
 14.67051125 14.73227978]"
84,"[14.70762157 14.83763504 14.7731266  14.88819504 14.79305172 14.85482025
 14.91110992 14.97188187 15.23489571 15.40426064 15.5136013  15.42717457
 15.51011372 15.44162083 15.61023903]"
85,"[15.54149723 15.14971542 14.79703712 14.99429798 14.97163296 14.70687485
 14.62244129 14.69118404 14.44585323 14.63564205 14.45606518 14.52007484
 13.69890308]"
86,"[13.44958782 13.50986195 13.50189209 13.30737114 13.19902706 13.27573872
 13.2284174  13.47001076 13.12032223 13.23265076 13.28694725 13.36091995]"
87,"[13.31135559 13.35992432 13.27822971 13.48196602 13.40500546 13.52978706
 13.4685173  13.51932621 13.32679844 13.23713398 13.11160374 13.12082005
 13.26751995 13.47598934 13.58209133 13.81297588 14.05257702 14.00948906
 13.95245266 14.35743523 14.47424698]"
88,"[14.43439579 14.02692413 14.07723522 14.08620071 14.10712337 13.94772053
 13.88545418 13.67374706 13.88121986 14.0194521  14.01471901 14.00874233
 14.11484432]"
89,"[14.12505627 14.16689873 14.2219429  14.15245342 14.03588963 14.13427067
 14.10264015 14.26478195 14.61447144 14.67001343]"
90,"[14.82692528 13.70238972 13.70114517 13.82418442 13.80575275 13.62542915
 13.57387161 13.24136829 13.17710876 13.18034744 13.25033379 13.09342289
 13.21546459 12.61197662 12.69641113 12.42019558 12.28246212]"
91,"[12.99255085 12.67872715 12.58756924 12.72430611 12.64086914 12.65182781
 12.41272354 12.31459236 11.83090496 11.75718117]"
