run,protocol,synthetic_proportion_pct,train_windows,mape,baseline_mape,pct_change_vs_real_only,fit_seconds
1,independent_argmax,40,1134,0.19742801785469055,0.07343729585409164,168.83889930662613,10.049
1,independent_argmax,50,1134,0.12671203911304474,0.07343729585409164,72.5445329098196,10.061
1,independent_argmax,60,1134,0.20079730451107025,0.07343729585409164,173.4268768692449,9.976
1,independent_argmax,70,1134,0.4215441346168518,0.07343729585409164,474.0191407025576,9.981
1,independent_argmax,80,1134,0.5202643275260925,0.07343729585409164,608.4470111205836,9.959
1,independent_argmax,90,1134,0.5436167120933533,0.07343729585409164,640.246091268712,9.974
1,independent_argmax,100,1197,0.5481474995613098,0.07343729585409164,646.4156913544211,10.317
1,continuous_argmax,10,1134,0.14244705438613892,0.07343729585409164,93.9709962484986,10.181
1,continuous_argmax,20,1134,0.15031111240386963,0.07343729585409164,104.67953055149822,10.028
1,continuous_argmax,30,1134,0.06965584307909012,0.07343729585409164,-5.149226603488611,10.094
1,continuous_argmax,40,1134,0.1715983897447586,0.07343729585409164,133.66654197847592,10.099
1,continuous_argmax,50,1134,0.3405817449092865,0.07343729585409164,363.7721759063254,10.019
1,continuous_argmax,60,1134,0.0178967472165823,0.07343729585409164,-75.62989349153007,10.079
1,continuous_argmax,70,1134,0.429821640253067,0.07343729585409164,485.29066907236756,9.982
1,continuous_argmax,80,1134,0.22231058776378632,0.07343729585409164,202.72164188273285,10.071
1,continuous_argmax,90,1134,0.012457690201699734,0.07343729585409164,-83.03628958989557,10.078
1,continuous_argmax,100,1197,0.16204936802387238,0.07343729585409164,120.66358263768177,10.396
1,independent_sampled,10,1134,0.06613262742757797,0.07343729585409164,-9.946810188962974,10.097
1,independent_sampled,20,1134,0.06083742156624794,0.07343729585409164,-17.157323320942634,10.114
1,independent_sampled,30,1134,0.18419408798217773,0.07343729585409164,150.81817874686237,10.043
1,independent_sampled,40,1134,0.30728578567504883,0.07343729585409164,318.4328713377156,10.027
1,independent_sampled,50,1134,0.1851041615009308,0.07343729585409164,152.05743123862246,10.027
1,independent_sampled,60,1134,0.1376783549785614,0.07343729585409164,87.47743006783179,10.024
1,independent_sampled,70,1134,0.5481777191162109,0.07343729585409164,646.4568415010185,10.048
1,independent_sampled,80,1134,0.5516955852508545,0.07343729585409164,651.2471406177413,9.972
