seed,sample_id,family,persistence,pooled_delta,acf_r_lag1,acf_abs_r_lag1,oos_corr,directional_accuracy,strategy_edge,strategy_sharpe
73,real_eval,real,,0.11689781485815981,-0.025616910368095446,0.1844117589382031,0.008553964472819232,0.4849699398797595,0.01253011014845494,0.19168145978089635
73,iid_signs,iid_signs,,0.19211409793407533,0.043717623385477265,0.1844117589382031,0.11432548807753698,0.5250501002004008,0.07112001218313255,1.0905033789326841
73,markov_signs_p0.65,markov_signs,0.65,0.15173799519898318,0.09621254345489234,0.1844117589382031,0.06537596244736368,0.5731462925851704,0.051859718634134994,0.7943114163066307
73,markov_signs_p0.75,markov_signs,0.75,0.45756319376938276,0.3084594458123058,0.1844117589382031,0.3087402741419184,0.7334669338677354,0.371007178615915,6.074866850022166
73,markov_signs_p0.85,markov_signs,0.85,0.660907464098249,0.3916573408760485,0.1844117589382031,0.41085648546267134,0.7254509018036072,0.33843816240219726,5.477320786447247
73,markov_signs_p0.90,markov_signs,0.9,0.7031444173525457,0.4302765356752283,0.1844117589382031,0.4232681618275274,0.811623246492986,0.42574517707133486,7.139721588428424
74,real_eval,real,,0.02945243374938876,0.00041844432896417276,0.10820020766198706,-0.0639330403152954,0.5130260521042084,-0.04878667834899342,-0.8968583213389311
74,iid_signs,iid_signs,,0.02729265119612994,-0.005240122270844188,0.10820020766198706,-0.028178921023325875,0.49899799599198397,-0.006213870721672993,-0.11399502401724725
74,markov_signs_p0.65,markov_signs,0.65,0.16657708628802562,0.1466274244918137,0.10820020766198706,0.19978065169794906,0.6132264529058116,0.19436756763280394,3.6654669449666892
74,markov_signs_p0.75,markov_signs,0.75,0.2841712470550918,0.3379706630660505,0.10820020766198706,0.34283162640160164,0.7054108216432866,0.28043332173145363,5.440423018526926
74,markov_signs_p0.85,markov_signs,0.85,0.4152679610438478,0.4601609681335963,0.10820020766198706,0.4986398506657727,0.8597194388777555,0.47367272779799807,10.41293650191872
74,markov_signs_p0.90,markov_signs,0.9,0.4482845451382194,0.4873093897862819,0.10820020766198706,0.520550560863409,0.8376753507014028,0.47007520784364654,10.290444471863017
75,real_eval,real,,0.038458521182542435,0.014159707541489087,0.15692610037130042,0.007778929834232449,0.503006012024048,-0.015257078507793906,-0.30576842333899046
75,iid_signs,iid_signs,,0.10222670017202676,0.030330325695025247,0.15692610037130042,-0.0022409032754499686,0.5450901803607214,0.055352420192150295,1.1043537187046955
75,markov_signs_p0.65,markov_signs,0.65,0.19384199293761534,0.23605011853123398,0.15692610037130042,0.17239168354637524,0.6232464929859719,0.15571900956769855,3.146512047576362
75,markov_signs_p0.75,markov_signs,0.75,0.23395349895689296,0.3681330290210973,0.15692610037130042,0.37225888457807277,0.6993987975951904,0.26997571195111125,5.757861551072386
75,markov_signs_p0.85,markov_signs,0.85,0.3462908722977285,0.43651041410737856,0.15692610037130042,0.44834957855678936,0.7434869739478958,0.3332481314717931,7.2961692510984255
75,markov_signs_p0.90,markov_signs,0.9,0.3538256679900194,0.50099430787147,0.15692610037130042,0.5529351704963823,0.8517034068136272,0.4528963995498028,11.029108903663957
76,real_eval,real,,0.029959086321863157,0.002162819630004144,0.1810329132170503,0.00280144644257542,0.5170340681362725,0.02061235441992681,0.30320010819369675
76,iid_signs,iid_signs,,0.12650239720504927,0.0612873207711326,0.1810329132170503,-0.11698637813992456,0.48697394789579157,-0.03459318889891607,-0.5090532503909937
76,markov_signs_p0.65,markov_signs,0.65,0.14594411248674963,0.15079838847826418,0.1810329132170503,0.1029921905590227,0.5811623246492986,0.0760888458352843,1.121872289126464
76,markov_signs_p0.75,markov_signs,0.75,0.24761585043223108,0.22573925319156526,0.1810329132170503,0.23147562072783878,0.7294589178356713,0.32576494611221485,5.02437527475869
76,markov_signs_p0.85,markov_signs,0.85,0.38345338220888653,0.36671787071704676,0.1810329132170503,0.38155659467349734,0.843687374749499,0.49102576829052097,8.10878065921337
76,markov_signs_p0.90,markov_signs,0.9,0.5676361745931686,0.4824589470252337,0.1810329132170503,0.4537683416898616,0.8897795591182365,0.6017457948287108,10.652368987883449
77,real_eval,real,,0.08627406467805024,0.023671865445178124,0.10882597546729049,0.0898713567311373,0.5070140280561122,0.0374867775766009,0.7331867185748481
77,iid_signs,iid_signs,,0.0905823657684122,-0.025932129928508147,0.10882597546729049,-0.08457949058286146,0.531062124248497,0.033578853004203706,0.6571751811460798
77,markov_signs_p0.65,markov_signs,0.65,0.1561280468180822,0.15859519423455726,0.10882597546729049,0.16599904135406016,0.6753507014028056,0.20868540609567507,4.20297860711639
77,markov_signs_p0.75,markov_signs,0.75,0.2713374482026781,0.29421794700127235,0.10882597546729049,0.37244779091313185,0.749498997995992,0.3424222358769274,7.374416427075245
77,markov_signs_p0.85,markov_signs,0.85,0.3825234789231766,0.3944036601597804,0.10882597546729049,0.4503552307078907,0.7835671342685371,0.35661485235185697,7.7500112536155665
77,markov_signs_p0.90,markov_signs,0.9,0.40043984537020794,0.42900991391663457,0.10882597546729049,0.47184107808456777,0.8717434869739479,0.41861675442722773,9.561284211900352
78,real_eval,real,,0.0818629456983336,0.011247682062886441,0.19854136272389375,0.048261045626854716,0.5430861723446894,0.0497369916330932,0.691814407140382
78,iid_signs,iid_signs,,0.09909781080162303,-0.022546997653508122,0.19854136272389375,-0.018100183890745646,0.4909819639278557,-0.06023337466633184,-0.8381317027430201
78,markov_signs_p0.65,markov_signs,0.65,0.27993560045070326,0.24454464084524974,0.19854136272389375,0.21260329204755288,0.6112224448897795,0.19322349113034915,2.7246928842336615
78,markov_signs_p0.75,markov_signs,0.75,0.42728774128359137,0.32933161194784893,0.19854136272389375,0.3127859588647077,0.6773547094188377,0.28120403144752915,4.0353552911459065
78,markov_signs_p0.85,markov_signs,0.85,0.5317974396086605,0.41326658196316424,0.19854136272389375,0.36651549437071956,0.8156312625250501,0.49635029842529277,7.666648175814649
78,markov_signs_p0.90,markov_signs,0.9,0.6991847960999293,0.5194047072842926,0.19854136272389375,0.5020917607109149,0.8657314629258517,0.5968096706518582,9.753259867707209
79,real_eval,real,,0.1298904042092113,-0.07551102442645376,0.18790892399463122,-0.06298711841372659,0.4849699398797595,-0.035116764111717214,-0.5404815230016708
79,iid_signs,iid_signs,,0.07692170995575393,-0.010566935243989047,0.18790892399463122,-0.04023106186385189,0.5050100200400801,-0.022807382495692523,-0.3508898470878299
79,markov_signs_p0.65,markov_signs,0.65,0.14745512589529655,0.09847121772992422,0.18790892399463122,0.03458597083625823,0.5851703406813628,0.08143411436718753,1.255808034910291
79,markov_signs_p0.75,markov_signs,0.75,0.39382039254423096,0.33406509259197426,0.18790892399463122,0.29100914839003655,0.7234468937875751,0.34840644477623156,5.690141433011282
79,markov_signs_p0.85,markov_signs,0.85,0.579338247139874,0.42361799495898467,0.18790892399463122,0.40696552029683875,0.8296593186372746,0.47989793436082856,8.323971416467803
79,markov_signs_p0.90,markov_signs,0.9,0.635354178361517,0.4737504369503937,0.18790892399463122,0.48518118475935873,0.8657314629258517,0.5224989864707674,9.317471266217954
80,real_eval,real,,0.18328816644086218,0.044661919649698546,0.20015952554750394,-0.016666874917165463,0.46092184368737477,-0.06844848787648525,-0.7500188015089058
80,iid_signs,iid_signs,,0.385266832210963,-0.04292921100902917,0.20015952554750394,0.08639614295254529,0.5230460921843687,0.13704166384387034,1.5078114236821836
80,markov_signs_p0.65,markov_signs,0.65,0.522505491515081,0.17655614460925234,0.20015952554750394,0.17928547699669878,0.5791583166332666,0.1951977377462537,2.158296884603974
80,markov_signs_p0.75,markov_signs,0.75,0.8917226517696,0.24507629599066014,0.20015952554750394,0.27363747668923133,0.6933867735470942,0.4124921092139319,4.714145853202094
80,markov_signs_p0.85,markov_signs,0.85,1.2539457486278904,0.38162242346480185,0.20015952554750394,0.3705324798220028,0.8256513026052105,0.6886457861227878,8.55328110984654
80,markov_signs_p0.90,markov_signs,0.9,1.5354531693144227,0.4281551049278883,0.20015952554750394,0.47932559703032657,0.8837675350701403,0.7725134225940485,10.001204876651267
81,real_eval,real,,0.0545772667925533,0.05684225359871788,0.11552305336286872,0.02940154755818733,0.5190380761523046,0.04689889662827287,1.0748430276812553
81,iid_signs,iid_signs,,0.04097069649265276,0.01766431147901149,0.11552305336286872,-0.06016149623089955,0.503006012024048,-0.020369493003504803,-0.4658628432621383
