run_idx,synthetic_pct,mae,dataset,k,variant,source_file
21,40,0.0280419383198022,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
22,40,0.0213907752186059,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
23,40,0.1641619354486465,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
24,40,0.0776579901576042,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
25,40,0.0569494850933551,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
26,40,0.0333946906030178,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
27,40,0.0995632037520408,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
28,40,0.0321477726101875,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
29,40,0.1869907826185226,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
0,50,0.0549428984522819,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
1,50,0.0285821333527565,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
2,50,0.0243284218013286,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
3,50,0.057323183864355,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
4,50,0.0886575356125831,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
5,50,0.0462962798774242,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
6,50,0.1280644088983535,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
7,50,0.1016134098172187,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
8,50,0.0546984560787677,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
9,50,0.0224412940442562,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
10,50,0.0588061437010765,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
11,50,0.0350478738546371,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
12,50,0.0583918094635009,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
13,50,0.2034676223993301,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
14,50,0.0629347488284111,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
15,50,0.0281741358339786,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
16,50,0.1929376125335693,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
17,50,0.0935988128185272,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
18,50,0.0529224090278148,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
19,50,0.2070120573043823,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
20,50,0.084483690559864,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
21,50,0.0564289838075637,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
22,50,0.0463545583188533,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
23,50,0.1181054413318634,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
24,50,0.0338986478745937,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
25,50,0.0919505432248115,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
26,50,0.0674629509449005,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
27,50,0.0372797660529613,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
28,50,0.1262520849704742,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
29,50,0.1109114810824394,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
0,60,0.0696986466646194,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
1,60,0.0315651595592498,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
2,60,0.1995275318622589,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
3,60,0.249586671590805,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
4,60,0.054564893245697,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
5,60,0.2141539305448532,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
6,60,0.0354412533342838,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
7,60,0.0938715785741806,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
8,60,0.0746394917368888,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
9,60,0.0416562668979167,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
10,60,0.0630552843213081,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
11,60,0.0471518710255622,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
12,60,0.0425588451325893,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
13,60,0.0651030540466308,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
14,60,0.2239696234464645,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
15,60,0.2670557200908661,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
16,60,0.0703727677464485,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
17,60,0.0808878988027572,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
18,60,0.0376157835125923,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
19,60,0.0374739579856395,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
20,60,0.1647955775260925,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
21,60,0.0716569945216178,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
22,60,0.0874900966882705,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
23,60,0.1993251293897628,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
24,60,0.0926091521978378,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
25,60,0.0346728861331939,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
26,60,0.0367373153567314,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
27,60,0.0550711974501609,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
28,60,0.0346481055021286,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
29,60,0.1157187968492508,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
0,70,0.1014774516224861,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
1,70,0.0637432336807251,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
2,70,0.0568841882050037,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
3,70,0.2060236930847168,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
4,70,0.0723053440451622,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
5,70,0.2791221141815185,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
6,70,0.0925244241952896,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
7,70,0.0655918419361114,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
8,70,0.2178948074579239,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
9,70,0.0728423148393631,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
10,70,0.1927611231803894,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
11,70,0.2213721871376037,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
12,70,0.2283057272434234,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
13,70,0.0884026065468788,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
14,70,0.092601366341114,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
15,70,0.0530935116112232,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
16,70,0.0296012200415134,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
17,70,0.0618858821690082,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
18,70,0.1653086990118026,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
19,70,0.1864284127950668,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
20,70,0.0840493738651275,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
21,70,0.0670546442270279,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
22,70,0.0272721294313669,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
23,70,0.3069270551204681,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
24,70,0.0845681652426719,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
25,70,0.0657621473073959,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
26,70,0.0304575935006141,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
27,70,0.2466533333063125,GOOG,K11,authors,results/tatr/goog/k11/authors/results_matrix.csv
