seed,sample_id,family,persistence,n_obs,pooled_delta,acf_r_lag1,acf_abs_r_lag1,signed_stylized_distance,magnitude_path_distance
46,markov_signs_p0.85,markov_signs,0.85,1000,0.4490129936933349,0.37525628112311227,0.2593135049981373,0.7756326571740303,0.0
46,markov_signs_p0.90,markov_signs,0.9,1000,0.5728527973917794,0.4746873650540953,0.2593135049981373,0.5618085234162187,0.0
47,real_eval,real,,1000,0.06280343247803616,0.021276144871279896,0.12499110458658763,0.0,0.0
47,iid_signs,iid_signs,,1000,0.08154780706030623,-0.05090267033073891,0.12499110458658763,0.07820576946795309,0.0
47,markov_signs_p0.55,markov_signs,0.55,1000,0.0853509918211199,0.08955505941488082,0.12499110458658763,0.34402151182375523,0.0
47,markov_signs_p0.65,markov_signs,0.65,1000,0.2437648503072573,0.14293977553996723,0.12499110458658763,0.4499694348574212,0.0
47,markov_signs_p0.75,markov_signs,0.75,1000,0.27205572860059746,0.265175706071133,0.12499110458658763,0.37893982047712255,0.0
47,markov_signs_p0.85,markov_signs,0.85,1000,0.38046512599272514,0.3290804306473177,0.12499110458658763,0.6236284597942132,0.0
47,markov_signs_p0.90,markov_signs,0.9,1000,0.5708523363333423,0.42329300666036423,0.12499110458658763,1.0063234591021957,0.0
48,real_eval,real,,1000,0.08276773943764953,0.03603211173845964,0.10590621646628458,0.0,0.0
48,iid_signs,iid_signs,,1000,0.05245994274399414,0.027875309560535994,0.10590621646628458,1.503353858216189,0.0
48,markov_signs_p0.55,markov_signs,0.55,1000,0.04633772578872546,0.04088109754026168,0.10590621646628458,1.2649420820425787,0.0
48,markov_signs_p0.65,markov_signs,0.65,1000,0.0906370508020899,0.11648180306793406,0.10590621646628458,0.5736763384514034,0.0
48,markov_signs_p0.75,markov_signs,0.75,1000,0.18503795164730272,0.27518862707519987,0.10590621646628458,0.9440148439560492,0.0
48,markov_signs_p0.85,markov_signs,0.85,1000,0.29894152917616607,0.42215251081854166,0.10590621646628458,1.7545562441613918,0.0
48,markov_signs_p0.90,markov_signs,0.9,1000,0.3905695607947229,0.4823400173604545,0.10590621646628458,1.6950855546070198,0.0
49,real_eval,real,,1000,0.10722790462209073,-0.02629535644635853,0.04014672763668279,0.0,0.0
49,iid_signs,iid_signs,,1000,0.06437916750219445,0.012369575254743255,0.04014672763668279,0.5415424916462239,0.0
49,markov_signs_p0.55,markov_signs,0.55,1000,0.1402951858197359,0.049927722817689375,0.04014672763668279,0.6878226915073058,0.0
49,markov_signs_p0.65,markov_signs,0.65,1000,0.15940609017167007,0.16569458303199977,0.04014672763668279,1.1527506109161894,0.0
49,markov_signs_p0.75,markov_signs,0.75,1000,0.25908273144750754,0.256882750100036,0.04014672763668279,0.749999169659573,0.0
49,markov_signs_p0.85,markov_signs,0.85,1000,0.4276891442127772,0.39973641668895915,0.04014672763668279,0.7662940925250238,0.0
49,markov_signs_p0.90,markov_signs,0.9,1000,0.5300995036972395,0.4568181630438265,0.04014672763668279,0.221119565274286,0.0
50,real_eval,real,,1000,0.08393763285044711,0.04538292099386258,0.15362968555108064,0.0,0.0
50,iid_signs,iid_signs,,1000,0.06747166949780879,-0.07138944186263714,0.15362968555108064,0.5714883028962483,0.0
50,markov_signs_p0.55,markov_signs,0.55,1000,0.08674443259625836,0.08486996305992497,0.15362968555108064,0.6351374925861364,0.0
50,markov_signs_p0.65,markov_signs,0.65,1000,0.15561977940014424,0.17549440921135967,0.15362968555108064,0.630175666746833,0.0
50,markov_signs_p0.75,markov_signs,0.75,1000,0.25800532470374543,0.2956041487776189,0.15362968555108064,0.978845372379921,0.0
50,markov_signs_p0.85,markov_signs,0.85,1000,0.44148217319535044,0.43379405388300946,0.15362968555108064,0.48257506941878536,0.0
50,markov_signs_p0.90,markov_signs,0.9,1000,0.4897422098870375,0.45692572238846374,0.15362968555108064,0.16563781235466113,0.0
51,real_eval,real,,1000,0.11748988975588187,0.030057337855403102,0.1015196341204057,0.0,0.0
51,iid_signs,iid_signs,,1000,0.08916201145979877,0.0019498894666292604,0.1015196341204057,1.1643838888551294,0.0
51,markov_signs_p0.55,markov_signs,0.55,1000,0.16143436792995092,0.06624061253725397,0.1015196341204057,1.2462490741107508,0.0
51,markov_signs_p0.65,markov_signs,0.65,1000,0.15553509353915768,0.17069046931896786,0.1015196341204057,1.7921770487189144,0.0
51,markov_signs_p0.75,markov_signs,0.75,1000,0.39244854215268987,0.341860230346601,0.1015196341204057,1.034048744942385,0.0
51,markov_signs_p0.85,markov_signs,0.85,1000,0.4967960336040701,0.4338910643858228,0.1015196341204057,0.9241020984899003,0.0
51,markov_signs_p0.90,markov_signs,0.9,1000,0.5705948309605826,0.48645614231021367,0.1015196341204057,0.9574474351114165,0.0
52,real_eval,real,,1000,0.13674257216986602,0.04294114254796301,0.23533338561725917,0.0,0.0
52,iid_signs,iid_signs,,1000,0.13374048710424033,-0.026740739293742544,0.23533338561725917,1.906291489533062,0.0
52,markov_signs_p0.55,markov_signs,0.55,1000,0.2710044836624213,0.04972028277762787,0.23533338561725917,0.6438932972724255,0.0
52,markov_signs_p0.65,markov_signs,0.65,1000,0.09097480446112893,0.06512578807639667,0.23533338561725917,0.38276434527415953,0.0
52,markov_signs_p0.75,markov_signs,0.75,1000,0.39964880434075534,0.2951077702871652,0.23533338561725917,0.7163157813985768,0.0
52,markov_signs_p0.85,markov_signs,0.85,1000,0.6603387776225693,0.4270263127130615,0.23533338561725917,0.9132100074437156,0.0
52,markov_signs_p0.90,markov_signs,0.9,1000,0.6529322248741533,0.4294591766965654,0.23533338561725917,1.377638265271081,0.0
53,real_eval,real,,1000,0.1057850941956635,-0.08812245756154621,0.21007078314101843,0.0,0.0
53,iid_signs,iid_signs,,1000,0.13198893817076818,-0.041802952755076825,0.21007078314101843,1.418173184872048,0.0
53,markov_signs_p0.55,markov_signs,0.55,1000,0.12001506423024401,0.07949509399640772,0.21007078314101843,0.4235164149547234,0.0
53,markov_signs_p0.65,markov_signs,0.65,1000,0.3128476137135808,0.27697965035931904,0.21007078314101843,1.0172148402098116,0.0
53,markov_signs_p0.75,markov_signs,0.75,1000,0.23319796416824848,0.2504415656846689,0.21007078314101843,0.5462223893406267,0.0
53,markov_signs_p0.85,markov_signs,0.85,1000,0.43473511336315973,0.3909783334161382,0.21007078314101843,1.874050756158288,0.0
53,markov_signs_p0.90,markov_signs,0.9,1000,0.5014811071728833,0.45197095486784633,0.21007078314101843,0.5001282873134074,0.0
54,real_eval,real,,1000,0.04562428628784777,0.06337285791865055,0.07335161547978024,0.0,0.0
54,iid_signs,iid_signs,,1000,0.02915847661505858,0.03323446909026947,0.07335161547978024,0.5633360558701227,0.0
54,markov_signs_p0.55,markov_signs,0.55,1000,0.054885791154824906,0.08921541463747576,0.07335161547978024,0.12216002448835894,0.0
54,markov_signs_p0.65,markov_signs,0.65,1000,0.10112037534480343,0.1982031372766602,0.07335161547978024,0.2253977038075672,0.0
54,markov_signs_p0.75,markov_signs,0.75,1000,0.12960480364921015,0.25121278048372925,0.07335161547978024,0.7349811130000875,0.0
54,markov_signs_p0.85,markov_signs,0.85,1000,0.240843769527718,0.413906211426558,0.07335161547978024,0.45683441232075944,0.0
54,markov_signs_p0.90,markov_signs,0.9,1000,0.29192578812569053,0.4424081949773633,0.07335161547978024,0.8265141327921626,0.0
55,real_eval,real,,1000,0.02532107965005547,-0.020498981949514404,0.06033363320415102,0.0,0.0
55,iid_signs,iid_signs,,1000,0.04834764335855487,-0.0019855396254508458,0.06033363320415102,0.5858592050919225,0.0
55,markov_signs_p0.55,markov_signs,0.55,1000,0.09209059044775052,0.10901225575822676,0.06033363320415102,0.4996180484856396,0.0
55,markov_signs_p0.65,markov_signs,0.65,1000,0.16188288287882793,0.1524674439970285,0.06033363320415102,0.5236274360282595,0.0
55,markov_signs_p0.75,markov_signs,0.75,1000,0.29780222568763204,0.32958409645028214,0.06033363320415102,0.6816149255520443,0.0
55,markov_signs_p0.85,markov_signs,0.85,1000,0.3768438121695451,0.38131162272933206,0.06033363320415102,0.38762233774910754,0.0
55,markov_signs_p0.90,markov_signs,0.9,1000,0.5114160767599932,0.49892836224029735,0.06033363320415102,0.8568761898453786,0.0
